,0,1,2,3,4,5,6,name,id
132,6 pm,Closed,12 pm,7 pm,7 pm,7 pm,1 pm,Mary Chung,ChIJTQbbb1R344kRDV69bt872jM
133,7 pm,7 pm,7 pm,8 pm,8 pm,7 pm,12 pm,Viale,ChIJ2c38DFR344kRDh6Brkv0A5o
134,8 am,9 am,8 am,7 am,8 am,11 am,8 am,Dunkin' Donuts,ChIJGdnro61w44kRUqTLY-5kyGk
135,7 am,8 am,7 am,8 am,7 am,10 am,10 am,Bruegger's Bagels,ChIJm3MtgZV544kRPT6HmpgQBrY
136,7 pm,7 pm,8 pm,7 pm,8 pm,8 pm,7 pm,Asmara,ChIJkSq1F1F344kRqz4wC8PzNjY
137,12 pm,12 pm,12 pm,12 pm,7 pm,7 pm,6 pm,Mu Lan Taiwanese Restaurant (Cambridge),ChIJa4trp61w44kRwo7iolYvBR8
138,7 pm,6 pm,7 pm,7 pm,6 pm,7 pm,6 pm,Stoked Wood Fired Pizza Co.,ChIJy7I1_LB544kRKrvAkiVvbI4
139,12 am,7 pm,8 pm,7 pm,8 pm,11 pm,12 am,The Automatic,ChIJLypala1w44kRsacCAJXsagg
140,8 am,9 am,8 am,8 am,8 am,9 am,11 am,Bruegger's Bagels,ChIJJYwRno1544kRxPLWpzvuK-k
141,7 pm,7 pm,8 pm,8 pm,8 pm,7 pm,12 pm,Washington Square Tavern,ChIJz6UP8LB544kRLKblfjPe7_c
142,7 pm,7 pm,7 pm,8 pm,7 pm,7 pm,6 pm,Xiang Yu China Bistro,ChIJq6omypR544kR8i1k51Gwnmo
143,7 pm,7 pm,7 pm,7 pm,7 pm,7 pm,1 pm,Life Alive Organic Cafe,ChIJLb3sGVF344kRl8CdANSNwDI
144,12 pm,12 pm,12 pm,1 pm,9 pm,2 pm,6 pm,El Pelón Taqueria,ChIJ1SGgo_V544kRmGe2qAAC1x0
145,8 pm,6 pm,7 pm,6 pm,12 pm,3 pm,7 pm,Fiouna's Restaurant,ChIJrWIQ9fV544kRtaCmIXwiOsY
146,7 pm,7 pm,7 pm,7 pm,8 pm,8 pm,7 pm,FuGaKyu Japanese Cuisine,ChIJ_VHPPpV544kRPNRucacPJls
147,1 pm,8 pm,8 pm,7 pm,5 pm,3 pm,4 pm,Gyro City,ChIJl10Q9fV544kRp20UGoWX84o
148,1 pm,12 pm,12 pm,12 pm,12 pm,12 pm,2 pm,Rod-Dee 2 Thai Cuisine,ChIJzz8a9fV544kR9O78J4GIcJ0
149,7 pm,7 pm,7 pm,7 pm,7 pm,7 pm,7 pm,Tiger Mama,ChIJvfqvyvV544kRlerKjUZv8xo
150,Closed,12 pm,1 pm,12 pm,7 pm,1 pm,6 pm,Kappo Sushi and Ramen,ChIJlbaUovV544kRKG3kpvn9MqQ
151,1 pm,1 pm,12 pm,7 pm,12 pm,7 pm,1 pm,Sichuan Gourmet,ChIJ44fiJ_J544kRXFN8_tXVQEo
152,8 pm,6 pm,8 pm,9 pm,7 pm,12 pm,11 am,Thornton's Fenway Grille,ChIJWUYppPV544kRT59pgeeNgBs
153,1 pm,7 pm,1 pm,Closed,6 pm,5 pm,7 pm,Maluken and Sushi Express,ChIJje9ZDvJ544kR3cLuEvu2MWY
154,12 pm,1 pm,12 pm,12 pm,1 pm,2 pm,1 pm,Bennett's Sandwich Shop,ChIJe32iovV544kRjPiR1pk1O6g
155,8 pm,7 pm,7 pm,7 pm,8 pm,8 pm,2 pm,Gyu-Kaku Japanese BBQ,ChIJ9bceiPF544kRzQuACrgS4pA
156,6 pm,7 pm,6 pm,7 pm,7 pm,6 pm,6 pm,by CHLOE. Fenway,ChIJ2eFC0_V544kRpGN4L_mvLJY
157,8 pm,8 pm,9 pm,6 pm,9 pm,8 pm,8 pm,University House of Pizza,ChIJj8-5wiF644kRYaFplOAY0_Y
158,5 pm,5 pm,8 pm,6 pm,6 pm,6 pm,6 pm,The Upper Crust Pizzeria,ChIJQdbOxr9544kRAbu35kWFoo0
159,8 pm,8 pm,8 pm,8 pm,7 pm,8 pm,12 am,O'Leary's,ChIJ72ErJ_J544kRuyKMWaAisCI
160,12 pm,11 am,12 pm,11 am,11 am,11 am,Closed,Busy Bee Restaurant & Diner,ChIJFQ4RDPJ544kR2Qht2WZ_qFo
161,12 pm,1 pm,12 pm,12 pm,1 pm,2 pm,1 pm,Bennets,ChIJe32iovV544kRW-_Srwm-AZM
162,7 pm,9 pm,8 pm,8 pm,7 pm,8 pm,6 pm,Coolidge Corner Clubhouse,ChIJozXIlb9544kRC1ut0VyWbgc
163,7 pm,7 pm,8 pm,7 pm,7 pm,7 pm,1 pm,OTTO,ChIJMeBJwr9544kRuMRkYuWIzmk
164,8 pm,7 pm,8 pm,7 pm,8 pm,8 pm,6 pm,Osaka Japanese Sushi & Steak House,ChIJNwUe5r9544kRgBYw_d3CBzM
165,7 pm,7 pm,7 pm,7 pm,7 pm,12 pm,11 am,Paris Creperie,ChIJ-Yoe9cZ544kRVYLTECugYd4
166,5 pm,5 pm,8 pm,6 pm,6 pm,6 pm,6 pm,Upper Crust,ChIJcSdxAH6C44kRpay1vdfwSAc
167,6 pm,7 pm,7 pm,7 pm,7 pm,3 pm,2 pm,Gen Sou En Teahouse,ChIJC7RL6r9544kRQQz2MM_0Xc0
168,8 pm,6 pm,7 pm,8 pm,7 pm,6 pm,6 pm,U Sushi,ChIJpbev9L5544kRriyH_FvHknM
169,6 pm,6 pm,7 pm,7 pm,6 pm,7 pm,1 pm,Oath Pizza - Coolidge Corner,ChIJCeJQxb9544kRPWJi0ER3XcI
170,7 pm,6 pm,7 pm,9 pm,8 pm,7 pm,12 am,Bar Louie,ChIJi39iffZ544kRBcvx2niTKas
171,7 pm,7 pm,8 pm,8 pm,7 pm,8 pm,7 pm,The Glenville Stops,ChIJ8whH7sh544kRM7Zj0fX_O3Y
172,9 pm,9 pm,9 pm,8 pm,10 pm,10 pm,12 am,Hopewell Bar & Kitchen,ChIJ7YVnn8h544kRfiv1BvK0xAA
173,7 pm,7 pm,8 pm,7 pm,8 pm,1 pm,1 pm,Ganko Ittetsu Ramen,ChIJWd-Ior9544kRFGsj8rUhkac
174,6 pm,6 pm,8 pm,7 pm,6 pm,6 pm,Closed,University Grill & Pizza,ChIJgTVA8vB544kRFbGEuIa0QSg
175,7 pm,Closed,6 pm,7 pm,7 pm,7 pm,1 pm,Shanghai Gate,ChIJy8yXesZ544kRD2zjE73VtOk
176,11 am,9 am,12 pm,11 am,10 am,11 am,10 am,Crispy Crepes Cafe,ChIJl1IyCfF544kRX2Sp1p-Hn9U
177,7 pm,7 pm,7 pm,8 pm,8 pm,7 pm,1 pm,Tasty Pot,ChIJiVq6y0h544kRWwZvUTW4f2Q
178,6 pm,7 pm,7 pm,6 pm,7 pm,7 pm,7 pm,Kaju Tofu House,ChIJA6MOzQJ644kRVnxF8Ocodfo
179,1 pm,1 pm,6 pm,1 pm,1 pm,1 pm,1 pm,New American Cafe,ChIJZWUafB9644kRYzvSX8V4FYg
180,1 pm,12 pm,12 pm,1 pm,12 pm,7 pm,Closed,Fin's,ChIJOdvhzQJ644kRwHYaBzpMxEY
181,12 pm,12 pm,1 pm,6 pm,7 pm,1 pm,7 pm,UBURGER,ChIJOdvhzQJ644kRHSgsq4hXd38
182,1 pm,Closed,1 pm,7 pm,7 pm,1 pm,2 pm,Thai Dish,ChIJBZjGpsJ544kRIlHaIevod8U
183,1 pm,1 pm,1 pm,1 pm,8 pm,8 pm,4 pm,Burger King,ChIJ-V22D89544kRkA0lVd9eicY
184,6 pm,7 pm,7 pm,7 pm,7 pm,7 pm,6 pm,Brown Sugar Cafe,ChIJR9tskMJ544kR1BggFbR4mxg
185,8 pm,8 pm,7 pm,9 pm,9 pm,11 pm,12 am,Cornwall's,ChIJefpNNR1644kRA4W72EdUO3g
186,12 pm,7 pm,1 pm,7 pm,8 pm,1 pm,5 pm,Xi'An Street Foods,ChIJrd3iec9544kRSanfa3u5PPw
187,12 pm,12 pm,12 pm,12 pm,Closed,Closed,Closed,"SABOR DO BRASIL, INC",ChIJmX9Bfs9544kRklWQr8K13L8
188,12 am,9 pm,9 pm,7 pm,12 am,1 am,11 pm,La Mamma Pizza,ChIJuRZJcc9544kRwePpYOJ0vdY
189,7 pm,8 pm,7 pm,8 pm,8 pm,7 pm,7 pm,Bonchon Chicken,ChIJE1yxCcV544kRT4VT4R6rHzM
190,8 pm,6 pm,8 pm,8 pm,8 pm,8 pm,1 pm,Hops N Scotch,ChIJaTRj2L9544kRX0ZETDB-93w
191,7 pm,7 pm,7 pm,7 pm,7 pm,7 pm,2 pm,Le's Vietnamese Cuisine,ChIJC4cfC8V544kRSezSw_XQmIQ
192,7 pm,7 pm,7 pm,6 pm,7 pm,7 pm,7 pm,Victoria Seafood Restaurant,ChIJEVUxmsJ544kRlLVioR0-B00
193,9 pm,10 pm,9 pm,11 pm,11 pm,12 am,12 am,White Horse Tavern,ChIJ2Uvfp8V544kR5MZX6pp4IiM
194,7 pm,8 pm,7 pm,7 pm,8 pm,8 pm,7 pm,Punjab Palace,ChIJ6ZKVBsV544kRUPURUMjsSoU
195,7 pm,8 pm,8 pm,7 pm,8 pm,7 pm,7 pm,Jo Jo Taipei,ChIJaWDTAMV544kRo0iO7RVV2IY
196,11 pm,12 am,Closed,Closed,11 pm,12 am,10 pm,Spike's Junkyard Dogs,ChIJQ-aPqcV544kRMPO26R3R9uE
197,7 pm,7 pm,7 pm,7 pm,7 pm,7 pm,6 pm,Carlos Cucina Italiana,ChIJqXVhCcV544kRW9_Owqj0_Hg
198,Closed,Closed,7 pm,7 pm,7 pm,12 pm,1 pm,Blue Asia Cafe,ChIJ4dgoBsV544kR2DmxeU_uYpU
199,9 pm,11 pm,12 am,10 pm,12 am,1 am,12 am,Pizza Days,ChIJ22CwB8V544kRbCCxoqK9_64
200,7 pm,7 pm,6 pm,8 pm,7 pm,7 pm,7 pm,Regina Pizzeria,ChIJk1rjpdp544kR2My5rfIEwgY
201,7 pm,7 pm,7 pm,7 pm,7 pm,7 pm,6 pm,Pho Lemongrass,ChIJ5Qs_hpV544kRMRxMuatbShc
202,Closed,Closed,8 pm,8 pm,8 pm,7 pm,8 pm,JMP Fine Indian Cuisine,ChIJ4RspCcN544kR-OuPiz7bETE
203,7 pm,7 pm,7 pm,7 pm,7 pm,6 pm,6 pm,Spring Shabu-Shabu,ChIJxSFa-9Z544kRS-YgR_i9xlc
204,8 pm,8 pm,7 pm,8 pm,9 pm,10 pm,12 am,Asgard,ChIJ9d1H8FR344kREiU1ulU7Juk
205,9 pm,8 pm,8 pm,8 pm,8 pm,9 pm,Closed,Riverside,ChIJPUYymFh344kRQUL7bI-QkRA
206,12 pm,1 pm,1 pm,12 pm,8 pm,6 pm,1 pm,Pho Viets,ChIJ4RspCcN544kR9RG2Up7L1o8
207,7 am,8 am,7 am,9 am,8 am,11 am,8 am,Dunkin' Donuts,ChIJ62imVth544kRMtqcUoOthQ4
208,1 pm,12 pm,2 pm,1 pm,1 pm,1 pm,1 pm,Alive & Kicking Lobsters,ChIJP5j-lVh344kRMmtLTr13V5Q
209,8 pm,7 pm,10 pm,7 pm,10 pm,10 pm,12 am,Miracle of Science,ChIJVay9wVR344kRRlVXSSswdUo
