,0,1,2,3,4,5,6,name,id
281,12 pm,12 pm,1 pm,12 pm,12 pm,Closed,Closed,Basho Express,ChIJzWP0yvB544kRsdRj8-SyKYk
282,7 pm,12 pm,7 pm,7 pm,7 pm,6 pm,5 pm,Eventide Fenway,ChIJzzGbwvV544kR-2wfUUIXrcE
283,7 pm,Closed,Closed,7 pm,9 pm,7 pm,4 pm,Tony C's Sports Bar & Grill - Fenway,ChIJy9QF7x1644kR1-4-Ly6Imo0
284,7 pm,7 pm,12 pm,8 pm,7 pm,1 pm,1 pm,Shan-A-Punjab,ChIJRb0-P8d544kRRAnppEdz9_I
285,7 pm,7 pm,6 pm,8 pm,8 pm,7 pm,12 am,Audubon,ChIJDaJJzfZ544kRnon1_FQE2cg
286,7 pm,6 pm,7 pm,7 pm,7 pm,7 pm,6 pm,Sol Azteca,ChIJeQVjgvF544kRFcm0SSly2pc
287,Closed,12 pm,1 pm,6 pm,7 pm,1 pm,7 pm,Mei Mei,ChIJTbj3DvF544kRB0odgAGKVPo
288,7 pm,6 pm,7 pm,7 pm,8 pm,6 pm,6 pm,Sweet Cheeks Q,ChIJUQfERfR544kRPexdI3z6tyU
289,1 pm,2 pm,12 pm,12 pm,12 pm,2 pm,1 pm,sweetgreen,ChIJk_cXKvR544kRv3E4WY1NRNo
290,7 pm,7 pm,7 pm,7 pm,7 pm,9 pm,6 pm,Yard House,ChIJqRk3ZPZ544kRy5hmYv2Txzw
291,12 pm,1 pm,12 pm,12 pm,12 pm,Closed,Closed,Pat's Place,ChIJyxyn2o5544kRr4g_vEqOfvw
292,12 pm,12 pm,8 pm,7 pm,9 pm,8 pm,8 pm,Chipotle Mexican Grill,ChIJ-ejoOvR544kRbXLHVJloj1I
293,12 pm,12 pm,12 pm,1 pm,1 pm,1 pm,2 pm,Saloniki Greek,ChIJTWuYMvR544kRbIDom3-z_fU
294,1 pm,1 pm,6 pm,1 pm,1 pm,2 pm,1 pm,Wahlburgers,ChIJ__r0K_R544kRnN2P42qNp6E
295,6 pm,7 pm,6 pm,7 pm,7 pm,6 pm,5 pm,Beerworks,ChIJ8-MbNvZ544kRp1mugL9Gc6U
296,7 pm,9 pm,7 pm,7 pm,11 pm,11 pm,12 am,Cask 'n Flagon,ChIJ44ZYNPZ544kRUbx5bOEX-Vc
297,1 pm,12 pm,12 pm,1 pm,1 pm,7 pm,Closed,Noodle Street,ChIJSxaTZ_d544kRX8eBXH8DhGQ
298,7 pm,7 pm,8 pm,10 pm,9 pm,6 pm,1 pm,Bleacher Bar,ChIJh-_ZLPZ544kRu4Hl0OcbiFg
299,12 pm,1 pm,6 pm,7 pm,7 pm,7 pm,5 pm,Scoozi,ChIJF5xYl_d544kRe6C2UO4AOYM
300,2 pm,10 pm,10 pm,10 pm,11 pm,11 pm,12 pm,McDonald's,ChIJh4xeB4Bw44kRKyShG2CZPrM
301,10 pm,6 pm,7 pm,9 pm,7 pm,7 pm,10 pm,Uno Pizzeria & Grill,ChIJjclD5_d544kR2RcDPvZD6xc
302,7 pm,8 pm,8 pm,7 pm,7 pm,7 pm,1 pm,La Voile,ChIJOaIsV7B544kR6-scqxsfiOY
303,12 pm,3 pm,12 pm,1 pm,12 pm,6 pm,5 pm,Sal's Pizza,ChIJ31w8jfB544kR_BnUebgwr8A
304,7 pm,7 pm,8 pm,8 pm,8 pm,8 pm,7 pm,Eastern Standard,ChIJ6etNTx1644kRqbTIgcjBSSg
305,12 pm,1 pm,12 pm,1 pm,1 pm,3 pm,2 pm,QDOBA Mexican Eats,ChIJYxmXWx1644kRapBw8sC3zKA
306,Closed,Closed,9 am,7 am,8 am,8 am,8 am,Dunkin' Donuts,ChIJS4xiOPZ544kRd8H9IAAAV8k
307,11 pm,7 pm,6 pm,7 pm,8 pm,11 pm,12 am,Game On! Fenway,ChIJs4ByM_Z544kRMONAusAqPO8
308,8 pm,11 pm,10 pm,10 pm,10 pm,11 pm,12 am,Kayuga,ChIJmzb0jsJ544kR0ToArGft3w0
309,7 pm,8 pm,1 pm,7 pm,7 pm,1 pm,12 pm,Misono Grill,ChIJ4RspCcN544kR7Dvn5K77PRs
310,1 pm,5 pm,12 pm,12 pm,1 pm,1 pm,Closed,Roast Beast,ChIJv3_B-8J544kRBNHOsjm07Bc
311,7 pm,7 pm,7 pm,7 pm,8 pm,8 pm,7 pm,Holly Crab,ChIJgZkfB8N544kRWrRM5viyzTk
312,6 pm,10 pm,7 pm,8 pm,9 pm,9 pm,7 pm,Tarboosh (Syrian shawarma & Manakish)شاورما عربي مناقيش مشاوي,ChIJPxpWC8N544kRLmulSt8OfcA
313,7 pm,6 pm,7 pm,7 pm,8 pm,8 pm,Closed,nathálie,ChIJiTerekN544kRLV6hgdaIgzY
314,7 pm,6 pm,7 pm,7 pm,10 pm,10 pm,12 am,The Baseball Tavern,ChIJWeac4x1644kRiknPPO098U0
315,11 pm,12 am,11 pm,11 pm,12 am,12 am,12 am,Wonder Bar,ChIJF-ZB3MV544kR4nUfJG5pAvY
316,11 pm,12 am,12 am,11 pm,11 pm,12 am,12 am,Machine Nightclub,ChIJsxDq5x1644kRddh1YxbKIds
317,Closed,Closed,9 pm,9 pm,8 pm,8 pm,12 am,Bill's Bar & Lounge,ChIJM6pIBR1644kRdCFnu6MlTN0
318,8 pm,8 pm,8 pm,10 pm,10 pm,11 pm,8 pm,The Hawthorne,ChIJs0TqOR1644kRtnVr9VP1e1U
319,7 pm,9 pm,7 pm,7 pm,10 pm,11 pm,12 am,The Lower Depths,ChIJe-Ca0xx644kR5pUz-ESnsXM
320,11 pm,7 pm,6 pm,7 pm,8 pm,11 pm,12 am,Game On!,ChIJnSbGM_Z544kRulxrWhlDlMk
321,6 pm,5 pm,5 pm,7 pm,6 pm,Closed,Closed,Fuller's BU Pub,ChIJvYqsBvp544kR3_CAkL3NsHY
322,Closed,5 pm,5 pm,6 pm,5 pm,4 pm,4 pm,Central Bottle Wine & Provisions,ChIJrf-J16pw44kRa8qQufDvgg0
323,Closed,Closed,Closed,11 pm,1 am,12 am,12 am,Middlesex Lounge,ChIJh487wlR344kRV6d5YqwJtkM
324,8 pm,6 pm,9 pm,6 pm,6 pm,10 pm,12 am,Dugout Cafe,ChIJOWkr9fB544kRW33ofArPKzg
325,7 pm,6 pm,6 pm,7 pm,6 pm,10 am,4 pm,Simmons University Sports Center,ChIJoRwC3ox544kRVaks1x9HhNw
326,9 pm,10 pm,10 pm,10 pm,11 pm,11 pm,12 am,Great Scott,ChIJKQ4eesZ544kRkbWbMSCAFDM
327,10 pm,9 pm,10 pm,10 pm,10 pm,10 pm,12 am,Silhouette Lounge,ChIJ0262dM9544kRx1SCG0goR4s
328,9 pm,10 pm,9 pm,11 pm,11 pm,11 pm,12 am,The Cantab Lounge,ChIJWeMHPVF344kR3SaHd6AQ_W8
329,7 pm,7 pm,8 pm,8 pm,9 pm,7 pm,7 pm,The Publick House,ChIJzUTN-7B544kRvz9fH0DtRWQ
